16 Michel Serres librairie Dialogues 30 octobre 2014.JPG	Briand | Wikimedia Commons | CC BY-SA 3.0
16. Internationales Management-Gespräch-Karl Gustaf Ratjen-HSGN 028-00639.jpg	Regina Kühne  | Wikimedia Commons | CC BY-SA 4.0
16-04-11-Pressekonferenz ARD und ZDF Fußball-EM 2016 RalfR-WAT 7021.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
17 Hippies (Salamanca 2006).jpg	Mjcampu~commonswiki assumed . | Wikimedia Commons | Public domain
17-05-10-Pressetermin-Weissensee-RalfR RR79319.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
17-0518-01 (3)-r.jpg	Paul Bilderbuch | Wikimedia Commons | CC BY-SA 4.0
18th National Congress of the Communist Party of China.jpg	Dong Fang | Wikimedia Commons | Public domain
18-02-01-Drehtermin-Charité-Prag-RalfR RRK1177.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
18-02-01-Drehtermin-Charité-Prag-RalfR RRK1185.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
18-02-01-Drehtermin-Charité-Prag-RalfR RRK1193.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
18-02-01-Drehtermin-Charité-Prag-RalfR RRK1210.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
18-04-20f-068bea (002).JPG	Maja Wiens | Wikimedia Commons | CC BY-SA 3.0 de
18-06-06-Fotoflug-Uckermark RRK3944.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
18-09-19-Kassel-DJI 0096.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
18..er Jahre anonym oil on canvas Brustbild des Unternehmers Friedrich Georg Culemann.jpg	ungenannt | Wikimedia Commons | Public domain
19. Internationales Management-Gespräch-Allan Bloom-HSGN 028-00796.jpg	Regina Kühne  | Wikimedia Commons | CC BY-SA 4.0
19-08-08-Danny-Dziuk DSF1045.jpg	Ralf Roletschek | Wikimedia Commons | GFDL 1.2
19-12-G.ª Martín copia.jpg	José Luis García Martín | Wikimedia Commons | CC BY-SA 4.0
19.05.1972. La Belle Hélène. (1972) - 53Fi4224.jpg	André Cros | Wikimedia Commons | CC BY-SA 4.0
19.6.2006-Atelier-Bruno-Heller bearb klein.tif	Martin Linsi, Einsiedeln  | Wikimedia Commons | CC BY-SA 3.0
20 septembre 2017 Atelier Candice Nechitch.jpg	MAHISTRE | Wikimedia Commons | CC BY-SA 4.0
20. Internationales Management-Gespräch-Otto Loepfe-HSGN 028-00841.jpg	St. Gallen Symposium  | Wikimedia Commons | CC BY-SA 4.0
20. Tagung 1970 Chemiker- H. Leussink - LABW - Staatsarchiv Freiburg W 134 Nr. 092443b.jpeg	Willy Pragher | Wikimedia Commons | CC BY 4.0
20. Tagung 1970 Chemiker- L. Huber - LABW - Staatsarchiv Freiburg W 134 Nr. 092444.jpeg	Willy Pragher | Wikimedia Commons | CC BY 4.0
20th Century Studios.svg	20th Century Studios | Wikimedia Commons | Public domain
20-3-26, Charles Widor - btv1b53158755r.jpg	Agence Rol. Agence photographique  | Wikimedia Commons | Public domain
20-Brüderhaus-Herbst-jc-22.10.12-02.jpg	Karlshoehe | Wikimedia Commons | CC BY-SA 4.0
21 - borislav-pekic-pisac-akademik-1991.jpg	Wikimedia Commons | CC BY-SA 3.0
21. Internationales Management-Gespräch-Edzard Reuter-HSGN 028-00882.jpg	Regina Kühne  | Wikimedia Commons | CC BY-SA 4.0
